epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,1812.48,1.05006,0.93929,1.04269,0.66788,0.6256,0.66387,0.46232,1.26342,1.12236,1.13775,0.000120238,0.000120238,0.000120238
86,1834.36,1.06176,0.86447,1.07812,0.65985,0.68555,0.67503,0.46907,1.26801,1.10874,1.13841,0.000113169,0.000113169,0.000113169
87,1856.16,1.08647,0.91648,1.07344,0.68498,0.67596,0.69066,0.47648,1.26379,1.08499,1.13469,0.0001061,0.0001061,0.0001061
88,1877.84,1.02877,0.93489,1.06968,0.71453,0.65413,0.69504,0.47835,1.26459,1.08387,1.13656,9.90318e-05,9.90318e-05,9.90318e-05
89,1898.46,0.99002,0.9038,1.03522,0.71742,0.64369,0.69522,0.46688,1.27408,1.07012,1.14805,9.19632e-05,9.19632e-05,9.19632e-05
90,1920.17,1.04641,0.88571,1.04873,0.72551,0.62653,0.69427,0.47036,1.26551,1.06932,1.14872,8.48946e-05,8.48946e-05,8.48946e-05
91,1941.26,0.97216,0.85381,0.98695,0.58882,0.72937,0.67683,0.46477,1.26449,1.14046,1.14765,7.7826e-05,7.7826e-05,7.7826e-05
92,1962.89,0.95856,0.80696,0.99349,0.64312,0.67695,0.67156,0.46397,1.25545,1.12276,1.1454,7.07574e-05,7.07574e-05,7.07574e-05
93,1984.49,0.93997,0.78226,1.00387,0.62935,0.69262,0.66497,0.455,1.25058,1.12938,1.14041,6.36888e-05,6.36888e-05,6.36888e-05
94,2006.21,0.97291,0.87098,0.99871,0.59858,0.70596,0.66798,0.45698,1.2625,1.16049,1.14225,5.66202e-05,5.66202e-05,5.66202e-05
95,2027.34,0.88758,0.76115,0.96754,0.59096,0.69555,0.67037,0.46142,1.25511,1.12086,1.13699,4.95516e-05,4.95516e-05,4.95516e-05
96,2047.79,0.94033,0.76716,0.98947,0.68976,0.61363,0.67843,0.46276,1.25732,1.09792,1.13704,4.2483e-05,4.2483e-05,4.2483e-05
97,2069.84,0.91393,0.76182,0.96524,0.63263,0.68488,0.67555,0.46325,1.25884,1.1066,1.13492,3.54144e-05,3.54144e-05,3.54144e-05
98,2091.84,0.92391,0.75367,0.97205,0.57701,0.72365,0.67082,0.46092,1.25476,1.1038,1.13353,2.83458e-05,2.83458e-05,2.83458e-05
99,2112.82,0.93473,0.76016,0.97428,0.69546,0.62522,0.67527,0.46259,1.25242,1.10899,1.13282,2.12772e-05,2.12772e-05,2.12772e-05
100,2134.54,0.92104,0.76913,0.98303,0.64683,0.68212,0.67827,0.46253,1.25376,1.09787,1.13364,1.42086e-05,1.42086e-05,1.42086e-05
