epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,1905.67,0.96012,0.63361,1.14464,0.60963,0.6798,0.67514,0.46561,1.29684,1.11083,1.4069,8.48946e-05,8.48946e-05,8.48946e-05
91,1925.37,0.8172,0.524,1.03174,0.70822,0.6277,0.69605,0.47718,1.29369,1.0441,1.43233,7.7826e-05,7.7826e-05,7.7826e-05
92,1946.4,0.80854,0.48645,1.05616,0.63716,0.70372,0.69427,0.47857,1.2956,1.03005,1.43535,7.07574e-05,7.07574e-05,7.07574e-05
93,1966.26,0.7635,0.4954,1.04036,0.71198,0.56478,0.67766,0.46613,1.2799,1.04353,1.40528,6.36888e-05,6.36888e-05,6.36888e-05
94,1985.82,0.7542,0.45193,1.04961,0.68273,0.59219,0.6645,0.45996,1.27907,1.08683,1.40952,5.66202e-05,5.66202e-05,5.66202e-05
95,2005.54,0.81316,0.51032,1.05614,0.61109,0.6223,0.66852,0.45564,1.27125,1.07587,1.39983,4.95516e-05,4.95516e-05,4.95516e-05
96,2025.36,0.74373,0.46091,1.05058,0.68253,0.56038,0.67066,0.46246,1.26769,1.0707,1.40913,4.2483e-05,4.2483e-05,4.2483e-05
97,2045.04,0.8067,0.47669,1.0437,0.6132,0.67937,0.68242,0.47489,1.26628,1.04139,1.39787,3.54144e-05,3.54144e-05,3.54144e-05
98,2064.67,0.7825,0.50395,1.057,0.65016,0.62642,0.68576,0.47844,1.26935,1.0416,1.39647,2.83458e-05,2.83458e-05,2.83458e-05
99,2084.19,0.79771,0.49792,1.04176,0.63959,0.65002,0.68841,0.48238,1.26615,1.05461,1.40061,2.12772e-05,2.12772e-05,2.12772e-05
100,2103.7,0.72939,0.45285,1.04774,0.64204,0.65917,0.68131,0.47979,1.26072,1.053,1.40435,1.42086e-05,1.42086e-05,1.42086e-05
